Timestamp,Milliseconds,LightValue
2025-05-15 13:45:20,9995000,1023
2025-05-15 13:45:25,10000000,1023
2025-05-15 13:45:30,10005000,1023
2025-05-15 13:45:35,10010000,1023
2025-05-15 13:45:40,10015000,1023
2025-05-15 13:45:45,10020000,1023
2025-05-15 13:45:50,10025000,1023
2025-05-15 13:45:55,10030000,1023
2025-05-15 13:46:00,10035000,1023
2025-05-15 13:46:05,10040000,1023
2025-05-15 13:46:10,10045000,1023
2025-05-15 13:46:15,10050000,1023
2025-05-15 13:46:20,10055000,1023
2025-05-15 13:46:25,10060000,1023
2025-05-15 13:46:30,10065000,1023
2025-05-15 13:46:35,10070000,1023
2025-05-15 13:46:40,10075000,1023
2025-05-15 13:46:45,10080000,1023
2025-05-15 13:46:50,10085000,1023
2025-05-15 13:46:55,10090000,1023
2025-05-15 13:47:00,10095000,1023
2025-05-15 13:47:05,10100000,1023
2025-05-15 13:47:10,10105000,1023
2025-05-15 13:47:15,10110000,1023
2025-05-15 13:47:20,10115000,1023
2025-05-15 13:47:25,10120000,1023
2025-05-15 13:47:30,10125000,1023
2025-05-15 13:47:35,10130000,1023
2025-05-15 13:47:40,10135000,1023
2025-05-15 13:47:45,10140000,1023
2025-05-15 13:47:50,10145000,1023
2025-05-15 13:47:55,10150000,1023
2025-05-15 13:48:00,10155000,1023
2025-05-15 13:48:05,10160000,1023
2025-05-15 13:48:10,10165000,1023
2025-05-15 13:48:15,10170000,1023
2025-05-15 13:48:20,10175000,1023
2025-05-15 13:48:25,10180000,1023
2025-05-15 13:48:30,10185000,1022
2025-05-15 13:48:35,10190000,1023
2025-05-15 13:48:40,10195000,1023
2025-05-15 13:48:45,10200000,1023
2025-05-15 13:48:50,10205000,1023
2025-05-15 13:48:55,10210000,1023
2025-05-15 13:49:00,10215000,1023
2025-05-15 13:49:05,10220000,1023
2025-05-15 13:49:10,10225000,1023
2025-05-15 13:49:15,10230000,1023
2025-05-15 13:49:20,10235000,1023
2025-05-15 13:49:25,10240000,1023
2025-05-15 13:49:30,10245000,1023
2025-05-15 13:49:35,10250000,1023
2025-05-15 13:49:40,10255000,1023
2025-05-15 13:49:45,10260000,1023
2025-05-15 13:49:50,10265000,1023
2025-05-15 13:49:55,10270000,1023
2025-05-15 13:50:00,10275000,1023
2025-05-15 13:50:05,10280000,1023
2025-05-15 13:50:10,10285000,1023
2025-05-15 13:50:15,10290000,1022
2025-05-15 13:50:20,10295000,1021
2025-05-15 13:50:25,10300000,1023
2025-05-15 13:50:30,10305000,1023
2025-05-15 13:50:35,10310000,1023
2025-05-15 13:50:40,10315000,1023
2025-05-15 13:50:45,10320000,1023
2025-05-15 13:50:50,10325000,1023
2025-05-15 13:50:55,10330000,1023
